"ReportingOrgName","SourceOrganization","TransactionProviderName","RecipientOrgName","DestinationOrganization"
"UNICEF","United Nations Children's Fund",NA,"DIVISION PROVINCIALE DES AFFAIRES SOCIAL","DIVISION PROVINCIALE DES AFFAIRES SOCIAL"
"UNICEF","United Nations Children's Fund",NA,"WAR CHILD HOLLAND","WAR CHILD HOLLAND"
"UNICEF","United Nations Children's Fund",NA,"DIVISION PROVINCIALE DES AFFAIRES SOCIALES","DIVISION PROVINCIALE DES AFFAIRES SOCIALES"
"UNICEF","United Nations Children's Fund",NA,"B GUMUZ REGIONAL EDUCATION BUREAU REB","B GUMUZ REGIONAL EDUCATION BUREAU REB"
"UNICEF","United Nations Children's Fund",NA,"TIGRAY BUREAU OF EDUCATION","TIGRAY BUREAU OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"AFAR REGIONAL EDUCATION BUREAU","AFAR REGIONAL EDUCATION BUREAU"
"UNICEF","United Nations Children's Fund",NA,"OROMIA REGION BUREAU OF EDUCATION","OROMIA REGION BUREAU OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"SNNPR BUREAU OF EDUCATION","SNNPR BUREAU OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"IMAGINE 1 DAY INTERNATIONAL ORGANIZATION","IMAGINE 1 DAY INTERNATIONAL ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"GPNRS EDUCATION","GPNRS EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"ADDIS ABABA BOFED EDUCATION","ADDIS ABABA BOFED EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"SOMALI REGIONAL STATE EDUCATION BUREAU","SOMALI REGIONAL STATE EDUCATION BUREAU"
"UNICEF","United Nations Children's Fund",NA,"SOUTH WEST ETHIOPIAN REGION EDUCATION BUREAU","SOUTH WEST ETHIOPIAN REGION EDUCATION BUREAU"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION","MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"AMHARA BUREAU OF EDUCATION","AMHARA BUREAU OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"SNRS EDUCATION BUREAU","SNRS EDUCATION BUREAU"
"UNICEF","United Nations Children's Fund",NA,"CENTRAL ETHIOPIA REGIONAL STATE BUREAU OF EDUCATION","CENTRAL ETHIOPIA REGIONAL STATE BUREAU OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"SERS BUREAU OF EDUCATION","SERS BUREAU OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"GENEVA GLOBAL ETHIOPIA","GENEVA GLOBAL ETHIOPIA"
"UNICEF","United Nations Children's Fund",NA,"INNOVATIVE HUMANITARIAN SOLUTIONS ETHIOPIA","INNOVATIVE HUMANITARIAN SOLUTIONS ETHIOPIA"
"UNICEF","United Nations Children's Fund",NA,"SAVE THE CHILDREN UK ETHIOPIA","SAVE THE CHILDREN UK ETHIOPIA"
"UNICEF","United Nations Children's Fund",NA,"ORGANIZATION FOR WELFARE AND DEVELOPMENT IN ACTION","ORGANIZATION FOR WELFARE AND DEVELOPMENT IN ACTION"
"UNICEF","United Nations Children's Fund",NA,"AMHARA DEVELOPMENT ASSOCIATION","AMHARA DEVELOPMENT ASSOCIATION"
"UNICEF","United Nations Children's Fund",NA,"DEVELOPMENT EXPERTISE CENTER","DEVELOPMENT EXPERTISE CENTER"
"UNICEF","United Nations Children's Fund",NA,"ETHIOPIAN CATHOLIC CHURCH SOCIAL AND DEVELOPMENT COMMISSION","ETHIOPIAN CATHOLIC CHURCH SOCIAL AND DEVELOPMENT COMMISSION"
"UNICEF","United Nations Children's Fund",NA,"MUMS FOR MUMS","MUMS FOR MUMS"
"UNICEF","United Nations Children's Fund",NA,"WORLD VISION ETHIOPIA","WORLD VISION ETHIOPIA"
"UNICEF","United Nations Children's Fund",NA,"PLAN INTERNATIONAL ETHIOPIA PIE","PLAN INTERNATIONAL ETHIOPIA PIE"
"UNICEF","United Nations Children's Fund",NA,"SOMALI REGIONAL STATE WATER BUREAU","SOMALI REGIONAL STATE WATER BUREAU"
"UNICEF","United Nations Children's Fund",NA,"GURMUU DEVELOPMENT ASSOC","GURMUU DEVELOPMENT ASSOC"
"UNICEF","United Nations Children's Fund",NA,"NORWEGIAN REFUGEE COUNCIL STIFTELSEN FLYKTNINGHJELPEN","NORWEGIAN REFUGEE COUNCIL STIFTELSEN FLYKTNINGHJELPEN"
"UNICEF","United Nations Children's Fund",NA,"GIRL EFFECT","GIRL EFFECT"
"UNICEF","United Nations Children's Fund",NA,"DIRECTION DEPARTEMENTALE EDUCATION DE LA GRANDE ANSE","DIRECTION DEPARTEMENTALE EDUCATION DE LA GRANDE ANSE"
"UNICEF","United Nations Children's Fund",NA,"DIRECTION DEPARTEMENTALE EDUCATION DU SUD EST","DIRECTION DEPARTEMENTALE EDUCATION DU SUD EST"
"UNICEF","United Nations Children's Fund",NA,"DIR DEPT EDUCATION CAYES","DIR DEPT EDUCATION CAYES"
"UNICEF","United Nations Children's Fund",NA,"DIRECTION DEPARTEMENTALE EDUCATION DE L OUEST","DIRECTION DEPARTEMENTALE EDUCATION DE L OUEST"
"UNICEF","United Nations Children's Fund",NA,"ORGANISATION DES COEURS POUR LE CHANGEMENT DES ENFANTS DEMUNIS D","ORGANISATION DES COEURS POUR LE CHANGEMENT DES ENFANTS DEMUNIS D"
"UNICEF","United Nations Children's Fund",NA,"CENTRE POUR L EDUCATION COMMUNAUTAIRE ET LA CULTURE CEDUCC","CENTRE POUR L EDUCATION COMMUNAUTAIRE ET LA CULTURE CEDUCC"
"UNICEF","United Nations Children's Fund",NA,"UNIGESTION HOLDING SA TA DIGICEL HAITI","UNIGESTION HOLDING SA TA DIGICEL HAITI"
"UNICEF","United Nations Children's Fund",NA,"MINISTERE DE L EDUCATION NATIONALE ET DE LA FORMATION PROFESSIONNELLE","MINISTERE DE L EDUCATION NATIONALE ET DE LA FORMATION PROFESSIONNELLE"
"UNICEF","United Nations Children's Fund",NA,"DIRECTION DEPARTEMENTALE EDUCATION DES NIPPES","DIRECTION DEPARTEMENTALE EDUCATION DES NIPPES"
"UNICEF","United Nations Children's Fund",NA,"DIRECTION DEPARTEMENTALE D EDUCATION DE L ARTIBONITE","DIRECTION DEPARTEMENTALE D EDUCATION DE L ARTIBONITE"
"UNICEF","United Nations Children's Fund",NA,"NASARAWA STATE MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGY","NASARAWA STATE MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGY"
"UNICEF","United Nations Children's Fund",NA,"CROSS RIVER STATE MINISTRY OF EDUCATION","CROSS RIVER STATE MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"GOMBE STATE MINISTRY OF EDUCATION","GOMBE STATE MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"NIGER STATE MINISTRY OF EDUCATION MINNA NIGER STATE","NIGER STATE MINISTRY OF EDUCATION MINNA NIGER STATE"
"UNICEF","United Nations Children's Fund",NA,"ENUGU MINISTRY OF EDUCATION","ENUGU MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"BENUE STATE MINISTRY OF EDUCATION","BENUE STATE MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"FEDERAL MINISTRY OF EDUCATION DEPT OF EDUC SUPPORT SERVICES","FEDERAL MINISTRY OF EDUCATION DEPT OF EDUC SUPPORT SERVICES"
"UNICEF","United Nations Children's Fund",NA,"OYO STATE MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGY","OYO STATE MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGY"
"UNICEF","United Nations Children's Fund",NA,"PLAN INTERNATIONAL NIGERIA","PLAN INTERNATIONAL NIGERIA"
"UNICEF","United Nations Children's Fund",NA,"BAUCHI STATE MINISTRY OF EDUCATION","BAUCHI STATE MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION BORNO STATE","MINISTRY OF EDUCATION BORNO STATE"
"UNICEF","United Nations Children's Fund",NA,"AMINU SALEH COLLEGE OF EDUCATION AZARE","AMINU SALEH COLLEGE OF EDUCATION AZARE"
"UNICEF","United Nations Children's Fund",NA,"LAGOS STATE MINISTRY OF EDUCATION","LAGOS STATE MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"BORNO STATE AGENCY FOR MASS LITERACY","BORNO STATE AGENCY FOR MASS LITERACY"
"UNICEF","United Nations Children's Fund",NA,"GIRL CHILD CONCERNS","GIRL CHILD CONCERNS"
"UNICEF","United Nations Children's Fund",NA,"RESTORATION OF HOPE INITIATIVE","RESTORATION OF HOPE INITIATIVE"
"UNICEF","United Nations Children's Fund",NA,"ADAMAWA STATE MINISTRY OF EDUCATION","ADAMAWA STATE MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"OYO STATE MINISTRY OF BUDGET AND ECONOMIC PLANNING","OYO STATE MINISTRY OF BUDGET AND ECONOMIC PLANNING"
"UNICEF","United Nations Children's Fund",NA,"GOAL PRIME ORGANIZATION NIGERIA","GOAL PRIME ORGANIZATION NIGERIA"
"UNICEF","United Nations Children's Fund",NA,"BAUCHI RADIO CORPORATION UNICEF PRO","BAUCHI RADIO CORPORATION UNICEF PRO"
"UNICEF","United Nations Children's Fund",NA,"YOBE STATE AGENCY FOR MASS EDUCATION","YOBE STATE AGENCY FOR MASS EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"KADUNA STATE AIDS CONTROL AGENCY KADUNA STATE","KADUNA STATE AIDS CONTROL AGENCY KADUNA STATE"
"UNICEF","United Nations Children's Fund",NA,"NATIONAL ORIENTATION AGENCY FCT DIRECTORATE ABUJA","NATIONAL ORIENTATION AGENCY FCT DIRECTORATE ABUJA"
"UNICEF","United Nations Children's Fund",NA,"BORNO STATE MIN OF WOMEN AFFAIRS AND SOCIAL DEVELOPMENT","BORNO STATE MIN OF WOMEN AFFAIRS AND SOCIAL DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"BORNO STATE ARABIC AND SANGAYA EDUCATION BOARD","BORNO STATE ARABIC AND SANGAYA EDUCATION BOARD"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF WOMEN AFFAIRS AND SOCIAL DEVELOPMENT JIGAWA STATE","MINISTRY OF WOMEN AFFAIRS AND SOCIAL DEVELOPMENT JIGAWA STATE"
"UNICEF","United Nations Children's Fund",NA,"KEBBI STATE MINISTRY OF EDUCATION","KEBBI STATE MINISTRY OF EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"SOKOTO SHEHU SHAGARI COLLEGE OF EDUCATION SOKOTO STATE","SOKOTO SHEHU SHAGARI COLLEGE OF EDUCATION SOKOTO STATE"
"UNICEF","United Nations Children's Fund",NA,"NATIONAL ORIENTATION AGENCY NASARAWA","NATIONAL ORIENTATION AGENCY NASARAWA"
"UNICEF","United Nations Children's Fund",NA,"EBONYI NATIONAL ORIENTATION AGENCY","EBONYI NATIONAL ORIENTATION AGENCY"
"UNICEF","United Nations Children's Fund",NA,"VALUE FE MALE NETWORK","VALUE FE MALE NETWORK"
"UNICEF","United Nations Children's Fund",NA,"ISA WALI EMPOWERMENT INITIATIVE","ISA WALI EMPOWERMENT INITIATIVE"
"UNICEF","United Nations Children's Fund",NA,"GOMBE STATE PRIMARY HEALTH CARE DEVELOPMENT AGENCY","GOMBE STATE PRIMARY HEALTH CARE DEVELOPMENT AGENCY"
"UNICEF","United Nations Children's Fund",NA,"KANO STATE MINISTRY OF WOMEN AFFAIRS","KANO STATE MINISTRY OF WOMEN AFFAIRS"
"UNICEF","United Nations Children's Fund",NA,"OYO STATE MIN OF WOMEN AFFAIRS AND SOCIAL INCLUSION","OYO STATE MIN OF WOMEN AFFAIRS AND SOCIAL INCLUSION"
"UNICEF","United Nations Children's Fund",NA,"NIGER STATE NATIONAL ORIENTATION AGENCY MINNA","NIGER STATE NATIONAL ORIENTATION AGENCY MINNA"
"UNICEF","United Nations Children's Fund",NA,"LAGOS STATE MINISTRY OF YOUTH AND SOCIAL DEVELOPMENT","LAGOS STATE MINISTRY OF YOUTH AND SOCIAL DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"SOKOTO STATE ARABIC AND ISLAMIC EDUCATION COMMISSION","SOKOTO STATE ARABIC AND ISLAMIC EDUCATION COMMISSION"
"UNICEF","United Nations Children's Fund",NA,"OYO STATE NATIONAL ORIENTATION AGENCY","OYO STATE NATIONAL ORIENTATION AGENCY"
"UNICEF","United Nations Children's Fund",NA,"TOMORROW IS A GIRL INITIATIVE","TOMORROW IS A GIRL INITIATIVE"
"UNICEF","United Nations Children's Fund",NA,"TRAILBLAZER INITIATIVE NIGERIA","TRAILBLAZER INITIATIVE NIGERIA"
"UNICEF","United Nations Children's Fund",NA,"KATSINA STATE DEPARTMENT OF GIRL CHILD EDUCATION AND CHILD DEVELOPMENT","KATSINA STATE DEPARTMENT OF GIRL CHILD EDUCATION AND CHILD DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"EBONYI STATE MINISTRY OF WOMEN AFFAIRS AND SOCIAL DEVELOPMENT","EBONYI STATE MINISTRY OF WOMEN AFFAIRS AND SOCIAL DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"ONELIFE INITIATIVE FOR HUMAN DEVELOPMENT","ONELIFE INITIATIVE FOR HUMAN DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF WOMEN AFFAIRS KATSINA STATE","MINISTRY OF WOMEN AFFAIRS KATSINA STATE"
"UNICEF","United Nations Children's Fund",NA,"OFFICE OF THE PUBLIC DEFENDER","OFFICE OF THE PUBLIC DEFENDER"
"UNICEF","United Nations Children's Fund",NA,"SOKOTO STATE MINSITRY FOR WOMEN AND CHILDREN AFFAIRS SOKOTO","SOKOTO STATE MINSITRY FOR WOMEN AND CHILDREN AFFAIRS SOKOTO"
"UNICEF","United Nations Children's Fund",NA,"WOMENS RIGHTS ADVANCEMENT AND PROTECTION","WOMENS RIGHTS ADVANCEMENT AND PROTECTION"
"UNICEF","United Nations Children's Fund",NA,"SAVE THE CHILD INITIATIVE","SAVE THE CHILD INITIATIVE"
"UNICEF","United Nations Children's Fund",NA,"IMO STATE MINISTRY OF WOMEN AFFAIRS AND SOCIAL DEVELOPMENT","IMO STATE MINISTRY OF WOMEN AFFAIRS AND SOCIAL DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"CROSS RIVER STATE MINISTRY OF JUSTICE","CROSS RIVER STATE MINISTRY OF JUSTICE"
"UNICEF","United Nations Children's Fund",NA,"HEALTH EMPOWERMENT ACADEMICS AND LEADERSHIP GLOBAL ORGANISATION","HEALTH EMPOWERMENT ACADEMICS AND LEADERSHIP GLOBAL ORGANISATION"
"UNICEF","United Nations Children's Fund",NA,"ADAMAWA MINISTRY OF WOMEN AFFAIRS SOCIAL DEV AND INTEGRATION ADAMAWA","ADAMAWA MINISTRY OF WOMEN AFFAIRS SOCIAL DEV AND INTEGRATION ADAMAWA"
"UNICEF","United Nations Children's Fund",NA,"FEDERAL MINISTRY OF JUSTICE","FEDERAL MINISTRY OF JUSTICE"
"UNICEF","United Nations Children's Fund",NA,"LIFE HELPERS INITIATIVE","LIFE HELPERS INITIATIVE"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF HUMAN SERVICES AND SOCIAL DEVELOPMENT","MINISTRY OF HUMAN SERVICES AND SOCIAL DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF SOCIAL DEVELOPMENT KWARA STATE GOVERNMENT","MINISTRY OF SOCIAL DEVELOPMENT KWARA STATE GOVERNMENT"
"UNICEF","United Nations Children's Fund",NA,"CENTER FOR PEOPLES HEALTH PEACE AND PROGRESS","CENTER FOR PEOPLES HEALTH PEACE AND PROGRESS"
"UNICEF","United Nations Children's Fund",NA,"FINPACT DEVELOPMENT FOUNDATION FINDEF","FINPACT DEVELOPMENT FOUNDATION FINDEF"
"UNICEF","United Nations Children's Fund",NA,"GENDER MOBILE INITIATIVE","GENDER MOBILE INITIATIVE"
"UNICEF","United Nations Children's Fund",NA,"YOBE STATE MINISTRY OF EDUCATION DAMATURU","YOBE STATE MINISTRY OF EDUCATION DAMATURU"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF RELIGIOUS AFFAIRS","MINISTRY OF RELIGIOUS AFFAIRS"
"UNICEF","United Nations Children's Fund",NA,"STREET CHILD INTERNATIONAL","STREET CHILD INTERNATIONAL"
"UNICEF","United Nations Children's Fund",NA,"WOMENS RIGHT TO EDUCATION PROGRAMME","WOMENS RIGHT TO EDUCATION PROGRAMME"
"UNICEF","United Nations Children's Fund",NA,"HIDIG HIDIG RELIEF DEVELOPMENT ORGANIZATION","HIDIG HIDIG RELIEF DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION AND HIGHER EDUCATION HIRSHABELLE","MINISTRY OF EDUCATION AND HIGHER EDUCATION HIRSHABELLE"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION GALMUDUG WASAARADDA WAXBARASHADA GALMUDUG","MINISTRY OF EDUCATION GALMUDUG WASAARADDA WAXBARASHADA GALMUDUG"
"UNICEF","United Nations Children's Fund",NA,"NORWEGIAN CHURCH AID","NORWEGIAN CHURCH AID"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION AND HIGHER EDUCATION PUNTLAND","MINISTRY OF EDUCATION AND HIGHER EDUCATION PUNTLAND"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION AND SCIENCE","MINISTRY OF EDUCATION AND SCIENCE"
"UNICEF","United Nations Children's Fund",NA,"BAY REGIONAL EDUCATION COMMITTEE","BAY REGIONAL EDUCATION COMMITTEE"
"UNICEF","United Nations Children's Fund",NA,"HIMILO RELIEF AND DEVELOPMENT ASSOCIATION","HIMILO RELIEF AND DEVELOPMENT ASSOCIATION"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION SOUTHWEST STATE OF SOMALIA","MINISTRY OF EDUCATION SOUTHWEST STATE OF SOMALIA"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION CULTURE AND HIGHER EDUCATION","MINISTRY OF EDUCATION CULTURE AND HIGHER EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"PUNTLAND MINORITY WOMEN DEVELOPMENT ORGANIZATION","PUNTLAND MINORITY WOMEN DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"SOMALI FAMILY SERVICES","SOMALI FAMILY SERVICES"
"UNICEF","United Nations Children's Fund",NA,"AFRICA EDUCATIONAL TRUST","AFRICA EDUCATIONAL TRUST"
"UNICEF","United Nations Children's Fund",NA,"SOMALI SOCIETY DEVELOPMENT ASSOCIATION","SOMALI SOCIETY DEVELOPMENT ASSOCIATION"
"UNICEF","United Nations Children's Fund",NA,"YOUTH VOLUNTEERS FOR DEVELOPMENT AND ENVIRONMENT CONSERVATION YOVENCO","YOUTH VOLUNTEERS FOR DEVELOPMENT AND ENVIRONMENT CONSERVATION YOVENCO"
"UNICEF","United Nations Children's Fund",NA,"FORMAL EDUCATION NETWORK FOR PRIVATE SCHOOLS","FORMAL EDUCATION NETWORK FOR PRIVATE SCHOOLS"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF MINERALS ENERGY AND WATER OF JUBALAND STATE OF SOMALIA","MINISTRY OF MINERALS ENERGY AND WATER OF JUBALAND STATE OF SOMALIA"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION HIGH LEARNING JSS","MINISTRY OF EDUCATION HIGH LEARNING JSS"
"UNICEF","United Nations Children's Fund",NA,"SOLIDARITY YOUTH VOLUNTARY ORGANIZATION","SOLIDARITY YOUTH VOLUNTARY ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"STEADFAST VOLUNTARY ORGANIZATION","STEADFAST VOLUNTARY ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"AFRICA YOUTH DEVELOPMENT ASSOCIATION","AFRICA YOUTH DEVELOPMENT ASSOCIATION"
"UNICEF","United Nations Children's Fund",NA,"SHABELLE EDUCATION UMBRELLA","SHABELLE EDUCATION UMBRELLA"
"UNICEF","United Nations Children's Fund",NA,"AYUUB NGO","AYUUB NGO"
"UNICEF","United Nations Children's Fund",NA,"TADDAMUN SOCIAL SOCIETY","TADDAMUN SOCIAL SOCIETY"
"UNICEF","United Nations Children's Fund",NA,"HORN OF AFRICA VOLUNTARY YOUTH COMMITTEE","HORN OF AFRICA VOLUNTARY YOUTH COMMITTEE"
"UNICEF","United Nations Children's Fund",NA,"HIRAN REGIONAL EDUCATION COMMITTEE","HIRAN REGIONAL EDUCATION COMMITTEE"
"UNICEF","United Nations Children's Fund",NA,"GOLWEYNE RELIEF AND REHABILITATION NGO","GOLWEYNE RELIEF AND REHABILITATION NGO"
"UNICEF","United Nations Children's Fund",NA,"ALIGHT","ALIGHT"
"UNICEF","United Nations Children's Fund",NA,"SOMALILAND YOUTH COMMUNITY ASSOCIATION","SOMALILAND YOUTH COMMUNITY ASSOCIATION"
"UNICEF","United Nations Children's Fund",NA,"HIMILO FOUNDATION","HIMILO FOUNDATION"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF HEALTH AND HUMAN SERVICES FEDERAL GOVERNMENT OF","MINISTRY OF HEALTH AND HUMAN SERVICES FEDERAL GOVERNMENT OF"
"UNICEF","United Nations Children's Fund",NA,"NEW WAYS ORGANIZATION","NEW WAYS ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF HEALTH EES","STATE MINISTRY OF HEALTH EES"
"UNICEF","United Nations Children's Fund",NA,"NATIONAL EDUCATION COALITION","NATIONAL EDUCATION COALITION"
"UNICEF","United Nations Children's Fund",NA,"ADVENTIST DEVELOPMENT AND RELIEF AGENCY","ADVENTIST DEVELOPMENT AND RELIEF AGENCY"
"UNICEF","United Nations Children's Fund",NA,"YEI TEACHER TRAINING COLLEGE","YEI TEACHER TRAINING COLLEGE"
"UNICEF","United Nations Children's Fund",NA,"ACROSS","ACROSS"
"UNICEF","United Nations Children's Fund",NA,"WINDLE TRUST INTERNATIONAL SOUTH SUDAN","WINDLE TRUST INTERNATIONAL SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"ADMINISTRATION OF EDUCATION ABYEI","ADMINISTRATION OF EDUCATION ABYEI"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF GENDER CHILD AND SOCIAL WELFARE","MINISTRY OF GENDER CHILD AND SOCIAL WELFARE"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF GENERAL EDUCATION AND INSTRUCTION","STATE MINISTRY OF GENERAL EDUCATION AND INSTRUCTION"
"UNICEF","United Nations Children's Fund",NA,"ECSSS EDUCATION AND TRAINING","ECSSS EDUCATION AND TRAINING"
"UNICEF","United Nations Children's Fund",NA,"RESCUE LIFE OF CHILDREN","RESCUE LIFE OF CHILDREN"
"UNICEF","United Nations Children's Fund",NA,"HUMANITARIAN AID FOR CHANGE AND TRANSFORMATION","HUMANITARIAN AID FOR CHANGE AND TRANSFORMATION"
"UNICEF","United Nations Children's Fund",NA,"TOUCH AFRICA DEVELOPMENT ORGANIZATION","TOUCH AFRICA DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"GREAT COMMISSION OPERATION MERCY","GREAT COMMISSION OPERATION MERCY"
"UNICEF","United Nations Children's Fund",NA,"NURTURE SOUTH SUDAN","NURTURE SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"HUMANITY WORLDWIDE SOUTH SUDAN","HUMANITY WORLDWIDE SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"AVSI SOUTH SUDAN","AVSI SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF WATER AND SANITATION STATE MINISTRY OF COOPERATIVE AND","DIRECTORATE OF WATER AND SANITATION STATE MINISTRY OF COOPERATIVE AND"
"UNICEF","United Nations Children's Fund",NA,"CHRISTIAN MISSION FOR DEVELOPMENT","CHRISTIAN MISSION FOR DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"LIFE SKILLS DEVELOPMENT AGENCY","LIFE SKILLS DEVELOPMENT AGENCY"
"UNICEF","United Nations Children's Fund",NA,"INTERSOS","INTERSOS"
"UNICEF","United Nations Children's Fund",NA,"CENTRE FOR EMERGENCY AND DEVELOPMENT SUPPORT","CENTRE FOR EMERGENCY AND DEVELOPMENT SUPPORT"
"UNICEF","United Nations Children's Fund",NA,"CHRISTIAN RECOVERY AND DEVELOPMENT AGENCY","CHRISTIAN RECOVERY AND DEVELOPMENT AGENCY"
"UNICEF","United Nations Children's Fund",NA,"PEACE CORPS ORGANIZATION PCO","PEACE CORPS ORGANIZATION PCO"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF EDUCATION JONGLEI","STATE MINISTRY OF EDUCATION JONGLEI"
"UNICEF","United Nations Children's Fund",NA,"MISSION TRUST AID","MISSION TRUST AID"
"UNICEF","United Nations Children's Fund",NA,"JUSTICE FOR CHILDREN ORGANISATION","JUSTICE FOR CHILDREN ORGANISATION"
"UNICEF","United Nations Children's Fund",NA,"CHRISTIAN MISSIONARIES INITIATIVE","CHRISTIAN MISSIONARIES INITIATIVE"
"UNICEF","United Nations Children's Fund",NA,"CHILDS DESTINY AND DEVELOPMENT ORGANIZATION","CHILDS DESTINY AND DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"FOR AFRIKA TO THRIVE","FOR AFRIKA TO THRIVE"
"UNICEF","United Nations Children's Fund",NA,"THE ORGANIZATION FOR CHILDREN HARMONY","THE ORGANIZATION FOR CHILDREN HARMONY"
"UNICEF","United Nations Children's Fund",NA,"DIRECTORATE OF WATER SANITATION AND HYGIENE","DIRECTORATE OF WATER SANITATION AND HYGIENE"
"UNICEF","United Nations Children's Fund",NA,"MOBILE HUMANITARIAN AGENCY","MOBILE HUMANITARIAN AGENCY"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF GENERAL EDUCATION NBEG","STATE MINISTRY OF GENERAL EDUCATION NBEG"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF GENERAL EDUCATION AND INSTRUCTIONS","MINISTRY OF GENERAL EDUCATION AND INSTRUCTIONS"
"UNICEF","United Nations Children's Fund",NA,"SAVE A LIFE INTERNATIONAL","SAVE A LIFE INTERNATIONAL"
"UNICEF","United Nations Children's Fund",NA,"CARITAS SOUTH SUDAN","CARITAS SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"SERVANTS HEART SOUTH SUDAN","SERVANTS HEART SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"HELPEDUCATION SOUTH SUDAN","HELPEDUCATION SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF FINANCE AND PLANNING","MINISTRY OF FINANCE AND PLANNING"
"UNICEF","United Nations Children's Fund",NA,"CHRISTIAN ACTION FOR RELIEF AND DEVELOPMENT","CHRISTIAN ACTION FOR RELIEF AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"NILE HOPE DEVELOPMENT FORUM","NILE HOPE DEVELOPMENT FORUM"
"UNICEF","United Nations Children's Fund",NA,"SUSTAINABLE HEALTH AND EDUCATION RELIEF ORGANIZATION","SUSTAINABLE HEALTH AND EDUCATION RELIEF ORGANIZATION"
